Romence Kelime,Kelime Türü,İngilizce Anlamı,Türkçe Anlamı,Örnek Cümle
serviciu,isim,"job, work, service","iş, hizmet",În fiecare zi merg la serviciu.
sesiune,isim,session,sınav dönemi,Examenele din sesiunea aceasta au fost ușoare.
sete,isim,thirst,susama,"Mi-e sete, vreau să beau ceva."
sezon,isim,season,sezon,Este sezonul reducerilor acum.
sfat,isim,advice,nasihat,Bunica îmi dă mereu sfaturi utile.
sfătui,fiil,advise,"nasihat vermek, tavsiye etmek",Te sfătuiesc să nu faci asta.
sfârșit,isim,end(ing),son,Sfârșitul filmului a fost neașteptat.
sfeclă,isim,beetroot,pancar,Fac o salată de sfeclă.
sfert,isim,quarter,çeyrek,Te aștept de un sfert de oră.
sigur(ă),sıfat/zarf,"safe, sure","güvenli, kesinlikle",România este o țară sigură.
simpatic(ă),sıfat,"cute, likeable","sempatik, sevimli",Molly este o pisică simpatică.
"simplu, simplă",sıfat,"plain, simple",basit,Vreau o gogoașă simplă.
simți (se),fiil,feel,hissetmek,Simt o durere în piept.
sincer(ă),sıfat,"sincere, heartfelt","içten, samimi",Primesc felicitări sincere din partea lor.
singur(ă),sıfat/zarf,"alone, single",yalnız,Maria a rămas singură acasă.
sirop,isim,syrup,şurup,Doctorul mi-a recomandat un sirop de tuse.
situație,isim,situation,durum,Andrei se află într-o situație dificilă.
slab(ă),sıfat,"thin, skinny, light, low-fat",zayıf,"Pentru a fi slabă, nu mănâncă dulciuri."
slăbi,fiil,"lose weight, loosen",zayıflamak,După dietă a slăbit 10 kg.
smântână,isim,(sour) cream,kaymak,Mănânc papanași cu smântână.
smochină,isim,fig,inci,Mama face dulceață de smochine.
soacră,isim,mother-in-law,kayınvalide,Soacra mea este încă tânără.
socru,isim,father-in-law,kayınvalide,Soacrul meu este încă tânăr.
soare,isim,sun,güneş,Soarele strălucește.
solid(ă),sıfat,solid,katı,Au construit o casă solidă.
solniță,isim,salt shaker,tuzluk,Am pus sare în solniță.
soluție,isim,solution,çare,Problema aceasta are mai multe soluții.
somn,isim,sleep,uyku,"Mi-e somn, vreau să dorm."
sonerie,isim,doorbell,zil,Sună cineva la sonerie.
soră,isim,sister,kız kardeş,Am două surori mai mici.
sos,isim,"sauce, dressing, gravy",sos,Vreau o friptură cu sos.
sosi,fiil,arrive,varmak,Autobuzul sosește la timp.
sosire,isim,arrival,varış,Am așteptat-o cu flori la sosire.
soț,isim,husband,eş,Soțul meu este inginer.
soție,isim,wife,eş,O iubesc pe soția mea.
spaghete,isim,spaghetti,spageti,Mănânc spaghete seara.
spanac,isim,spinach,ıspanak,Am gătit spanac cu orez.
sparge (se),fiil,"break, crack, puncture",kırmak,Copilul a spart geamul.
spate,isim,back,sırt,Mă doare spatele.
spațiu,isim,space,alan,Nu am spațiu suficient.
spăla (se),fiil,wash,"yıkamak, yıkanmak",Azi spăl mașina.
special(ă),sıfat,special,özel,Azi este o zi specială pentru mine.
spectacol,isim,"show, spectacle",gösteri,Pe litoral sunt multe spectacole.
spectator,isim,spectator,seyirci,În sala de teatru sunt mulți spectatori.
spera,fiil,hope,"ummak, ümit etmek",Sper să fie soare azi.
speranță,isim,hope,"ümit, umut",Pleacă acolo cu multe speranțe.
speria (se),fiil,"frighten, scare","korkutmak, korkmak",Fratele meu m-a speriat.
spital,isim,hospital,hastane,Medicii lucrează la spital.
sport,isim,"sport, exercise",spor,Sorin face mult sport.
sprânceană,isim,eyebrow,kaş,Bunicul are sprâncene dese.
spre,edat,towards,-a/-e doğru,Merg spre universitate.
spune,fiil,say,"söylemek, demek",Nu înțeleg ce spui.
sta,fiil,"stay, sit",oturmak,Eu stau cu părinții.
stabili (se),fiil,"settle, establish, determine","belirlemek, yerleşmek",Am stabilit toate amănuntele pentru petrecere.
stadion,isim,stadium,stadyum,Noi alergăm pe stadion.
stație,isim,"stop, station",durak,În stație este multă lume.
stațiune,isim,resort,tatil yeri,În România sunt multe stațiuni cu apă termală.
stâng(ă),sıfat,left,sol,Mă doare mâna stângă.
stânga,zarf,left,sol,Hotelul este la stânga.
stea,isim,star,yıldız,În nopțile senine poți vedea multe stele.
sticlă,isim,"bottle, glass",şişe,Beau o sticlă de apă plată.
stil,isim,style,"stil, tarz",Nu-mi place stilul lui.
stilou,isim,fountain pen,dolma kalem,Scriu cu stiloul.
stinge,fiil,"turn off, extinguish, die","kapamak, v efat etmek",Înainte de culcare sting lumina.
stoarce,fiil,squeeze,sıkmak,Storc niște portocale pentru suc.
stomac,isim,stomach,mide,Mă supără stomacul.
stradă,isim,street,sokak,Locuiesc pe o stradă lungă.
străin(ă),sıfat,foreign,yabancı,Aici este o studentă străină.
străin,isim,"foreigner, stranger",yabancı,În România sunt mulți străini.
străinătate,isim,abroad,yurtdışı,Învață în străinătate.
străluci,fiil,shine,parlamak,Soarele strălucește puternic.
strănuta,fiil,sneeze,hapşırmak,Copilul a strănutat de multe ori.
strâmt(ă),sıfat,tight,dar,Pantalonii sunt strâmți.
strânge,fiil,"pick, gather, collect, save",toplamak,Strâng jucăriile copilului.
strâns(ă),sıfat,"tight, saved, collected",toplanmiș,Banii strânși îmi ajung pentru excursie.
strica (se),fiil,"damage, break, spoil","bozmak, bozulmak",Copilul a stricat jucăria.
striga,fiil,"call, shout",çağırmak,Mama îl strigă pe Marian.
stropi,fiil,"splash, sprinkle",ıslatmak,În fiecare seară stropesc grădina.
strugure,isim,grapes,üzüm,Toamna culegem strugurii.
student,isim,student,öğrenci,Fratele meu este student la Constanța.
studia,fiil,study,öğrenmek,Eu studiez medicina.
sub,edat,"under, beneath",alt,Pisica stă sub masă.
subiect,isim,"subject, topic","özne, konu",Subiectele de examen nu au fost dificile.
sublinia,fiil,"underline, emphasize","altını çizmek, vurgulamak",Subliniez cuvintele necunoscute.
subsol,isim,basement,bodrum katı,Laboratoarele de anatomie sunt la subsol.
substanță,isim,substance,madde,Substanțele chimice sunt periculoase.
subțire,sıfat,"thin, light",ince,Vara purtăm haine subțiri.
suc,isim,juice,meyve suyu,Preparăm un suc de mere.
succes,isim,success,başarı,Ne urează succes la examen.
sud,isim,south,güney,Pinguinii sunt la sud.
suferi,fiil,suffer,acı çekmek,A suferit o fractură.
suficient(ă),sıfat/zarf,"enough, sufficient",yeterli,Nu am băut suficientă apă.
sufla,fiil,blow,üflemek,Vântul suflă cu putere.
sufragerie,isim,living room,salon,Am schimbat canapeaua din sufragerie.
suna,fiil,ring,çalmak,Sună alarma telefonului.
sunet,isim,"sound, noise",ses,Din stradă se aud multe sunete.
supă,isim,soup,çorba,Am făcut o supă de roșii.
supăra (se),fiil,upset,"kızdırmak, kızmak",Am supărat-o pe mama.
supărat(ă),sıfat,"angry, upset","sinirli, öfkeli",Copiii sunt supărați că nu pot ieși la joacă.
superficial(ă),sıfat,superficial,yüzeysel,Are o rană superficială.
"superior, superioară",sıfat,superior,üst,Familia Popescu stă la nivelul superior.
suporta,fiil,"bear, stand, tolerate","dayanmak, katlanmak",Nu te mai suport.
suprafață,isim,surface,"yüzölçümü, alan",Apartamentul meu are o suprafață de 65 mp.
surd(ă),sıfat,deaf,sağır,După accident a rămas surd.
surpriză,isim,surprise,sürpriz,Nu-mi plac surprizele lui.
sus,zarf,"up, upstairs",yukarı,Mergi sus să aduci mingea!
susține,fiil,"support, sustain, claim, maintain",desteklemek,Noi îl susținem pe sportivul din Constanța.
sută,isim,hundred,yüz,La concert au fost în jur de cinci sute de persoane.
suvenir,isim,souvenir,"hediye, hatıralık",Am adus câteva suveniruri din Grecia.
șah,isim,chess,satranç,Matei joacă șah.
șal,isim,shawl,şal,Doamna are un șal elegant.
șampon,isim,shampoo,şampuan,Mă spăl cu șampon animătreață.
șansă,isim,chance,şans,Are șanse să câștige jocul.
șapcă,isim,cap,şapka,Copilul are o șapcă roșie.
șapte,sayı,seven,yedi,Sunt șapte zile într-o săptămână.
șarpe,isim,snake,yılan,Acești șerpi sunt veninoși.
șase,sayı,six,altı,Pe masă sunt șase farfurii.
"șchiop, șchioapă",sıfat,"lame, limp",topal,Am dus la veterinar un câine schiop.
școală,isim,school,okul,La școală sunt mulți studenți străini.
ședință,isim,"meeting, session",toplantı,La ședință a participat directorul școlii.
șef,isim,"boss, chief","şef, başkan",Avem un șef foarte simpatic.
șervețel,isim,"napkin, tissue",peçete,Nu am cumpărat servețele pentru masa de Crăciun.
șezlong,isim,deck chair,şezlong,"La plajă, stam pe șezlong."
și,bağlaç,and,ve,Matei și Miruna desenează și cântă.
șifonier,isim,wardrobe,"dolap, gardırop",Am pus geanta de voiaj pe șifonier.
șiret,isim,shoelace,bağcık,Mă leg la șireturi.
șmecher(ă),sıfat,crafty,kurnaz,Tânărul este șmecher.
șnițel,isim,schnitzel,şnitzel,Am comandat un șnițel cu cartofi prăjiți.
șoarece,isim,mouse,fare,A intrat un șoarece în casă.
șofer,isim,driver,şoför,Mihai este un șofer atent.
șold,isim,hip,kalça,Operația la șold a reușit.
șosea,isim,road,ykarayol,Șoseaua Constanța - Mangalia este aglomerată vară.
șosetă,isim,sock,çorap,Șosetele sunt murdare.
șterge,fiil,wipe,silmek,Maria șterge praful.
ști,fiil,know,bilmek,Fata știe multe cântece.
știință,isim,science,bilim,Matematica este o știință exactă.
știre,isim,news,haber,Am ascultat știrile la radio.
șuncă,isim,ham,jambon,Mănânc o omletă cu șuncă.
tablă,isim,"board, sheet iron","tahta, saç, teneke",Profesoara scrie pe tablă cuvintele noi.
tabletă,isim,tablet,tablet,Copilul se joacă pe tabletă.
tablou,isim,painting,tablo,Tabloul a fost scump.
tacâm,isim,cutlery,takim,Tacâmurile pentru pește sunt pe masă.
talent,isim,"talent, skill",yetenek,Alexandra are talent la desen.
talentat(ă),sıfat,talented,yetenekli,Crina este o fată talentată.
talie,isim,"size, waist",bel,"Și-a strâns rochia în talie, cu o curea."
talpă,isim,sole,taban,Merge cu tălpile goale prin iarbă.
tare,sıfat/zarf,"hard, loud(ly)",sert,Patul este tare.
tată,isim,father,baba,Tatăl ei este foarte înalt.
tavan,isim,ceiling,tavan,Tavanul este alb.
tavă,isim,tray,tepsi,Am pus prăjitura în tavă.
taxă,isim,"fee, tax",vergi,Am plătit toate taxele la timp.
taxi,isim,taxi,taksi,Comandăm un taxi.
tăcea,fiil,"shut up, keep quiet",susmak,Uneori este bine să tăcem.
tăcere,isim,silence,sessizlik,A păstrat tăcerea mult timp după incident.
tăia,fiil,cut,kesmek,Tăiem pâinea pentru sandvișuri.
"tău, ta (al, a)",zamir,your,senin,Copilul tău este foarte calm.
tânăr(ă),sıfat,young,genç,Are o soție tânără.
târziu,zarf,late,geç,Am ajuns târziu la hotel.
teatru,isim,theatre,tiyatro,Avem bilete la teatru.
telefon,isim,telephone,telefon,Vorbește mult la telefon.
televizor,isim,television,televizyon,Seara ne uităm împreună la televizor.
temă,isim,homework,ödev,Nu avem teme pentru vacanță.
temperatură,isim,temperature,sıcaklık,Vara temperaturile sunt mari.
ten,isim,complexion,ten,Are un ten gras.
tenis,isim,tennis,tenis,Jucăm tenis în fiecare săptămână.
terapie,isim,therapy,terapi,Vine acum de la terapie.
terasă,isim,terrace,teras,Florile de pe terasă sunt uscate.
teren,isim,"field, ground","saha, alan",Mingea a ieșit de pe teren.
termen,isim,"term, deadline","kelime, sözcük",Traduce termenii de specialitate.
termina,fiil,"finish, terminate",bitirmek,Vrea să termine lucrarea la timp.
termometru,isim,thermometre,termometre,Termometrul măsoară temperatura.
test,isim,test,test,A obținut calificativ bun la test.
testa,fiil,"test, try","test etmek, denemek",Antrenorul a testat toți sportivii de pe teren.
text,isim,text,metin,Nu a citit toate textele din manual.
tigaie,isim,frying pan,tava,Mioara prepară omleta în tigaie.
tigru,isim,tiger,kaplan,Am văzut o emisiune despre tigri.
timbru,isim,stamp,pul,A lipit timbrul pe plic.
timid(ă),sıfat,"timid, sht",çekingen,Copiii lui sunt timizi.
timp,isim,"time, tense",zaman,Nu am timp azi pentru cumpărături.
titlu,isim,title,başlık,Cartea are un titlu lung.
toaletă,isim,toilet,"tuvalet, lavabo",Căutăm o toaletă.
toamnă,isim,autumn,"sonbahar, güz",A venit toamna devreme.
toca,fiil,"chop, mince",kıymak,Mama toacă legumele pentru ciorbă.
tocană,isim,stew,"güveç, yahni",Am mâncat o tocană de legume.
tocmai,zarf,"just, precisely, all the way",tam,Tocmai a intrat pe ușă.
topi (se),fiil,melt,"eritmek, erimek",Topim untul în tigaie.
tort,isim,cake,"pasta, yaş pastası",Tortul cu fructe a fost delicios.
"tot, toată",sıfat,all,"hepsi, bütün",Au plecat toți la muzeu.
total,zarf,"totally, completely",tamamen,M-a impresionat total.
totdeauna,zarf,"always, forever",her zaman,Totdeauna caut locuri interesante.
totuși,zarf,"still, however","halbuki, -a/-e rağmen","Deși a întârziat, totuși a prins trenul."
traduce,fiil,translate,çevirmek,Daniela traduce din greacă în franceză.
trage,fiil,"pull, shoot",çekmek,"Carmen a tras draperiile, pentru a face întuneric în cameră."
tramvai,isim,tram,tramvay,Aștept tramvaiul de 10 minute.
trandafir,isim,rose,gül,Profesoara a primit un buchet de trandafiri.
transfera,fiil,transfer,aktarmak,Ieri am transferat niște bani în alt cont.
transmite,fiil,"transmit, communicate",iletmek,Studenții au transmis datele examenului.
transpira,fiil,sweat,terlemek,Vara transpirăm mult.
trata,fiil,treat,tedavi etmek,Medicul tratează zilnic mulți pacienți.
tratament,isim,treatment,tedavi,Pacientul a primit tratamentul potrivit.
traversa,fiil,cross,geçmek,Traversăm strada pe trecerea de pietoni.
trăi,fiil,live,yaşamak,Eu trăiesc în România de 20 de ani.
treabă,isim,work,iş,"Azi nu am treabă, mă odihnesc."
treaptă,isim,step,basamak,Scara aceasta are 20 de trepte.
trebui,fiil,"must, have to","lazım, gerek",Trebuie să plecăm în vacanță.
trece,fiil,"cross, pass",geçmek,Timpul trece repede în vacanță.
trecere,isim,crossing,geçiş,Trecerea de pietoni este mai jos.
trecut(ă),sıfat,"last, past",geçen,Vara trecută am avut concediu o săptămână.
trei,sayı,three,üç,Familia Popescu are trei copii.
tren,isim,train,tren,Aștept trenul în gară.
trezi (se),fiil,wake / get up,uyanmak,Mă trezesc devreme în fiecare zi.
tricou,isim,tee-shirt,tişört,Tricoul ei este nou.
trimite,fiil,send,göndermek,Am trimis un mail la secretariat.
trist(ă),sıfat,sad,üzgün,"Suntem triști, pentru că se termină vacanța."
triunghi,isim,triangle,üçgen,Desenează un triunghi pe foaie.
troleibuz,isim,trolley bus,troleybüs,Cu acest troleibuz ajungem repede la muzeu.
trotuar,isim,pavement,kaldırım,Pe trotuar sunt coșuri de gunoi.
tu,zamir,you (sg.),sen,Tu nu ai înțeles nimic.
tuna,fiil,thunder,gürlemek,"Când tună, câinele nostru se sperie."
tunde,fiil,"cut (hair), mow (grass)",kesmek,Frizerul m-a tuns.
tunet,isim,thunder,gök gürlemesi,A început o ploaie cu tunete și fulgere.
turist,isim,tourist,turist,Hotelul este pregătit pentru turiști.
turna,fiil,pour,dökmek,Chelnerul toarnă vinul în pahare.
tuse,isim,cough,öksürük,Doctorul mi-a recomandat un sirop pentru tuse.
tuși,fiil,cough,öksürmek,Tușiți pentru că fumați mult.
țară,isim,country,ülke,Această țară este în Europa.
țânțar,isim,mosquito,sivri sinek,Vara sunt mulți țânțari la marginea lacului.
țelină,isim,celery,kereviz,Nu îi place salata de țelină.
țigară,isim,cigarette,sigara,A cumpărat un pachet de țigări.
ține,fiil,"hold, keep, last, be fond of","tutmak, değer vermek",Filmul ține două ore.
țipa,fiil,"shout, yell, scream","bağırmak, çığlık atmak",Copiii țipă de bucurie.
ud(ă),sıfat,wet,ıslak,A pus hainele ude la uscat.
uda,fiil,water,sulamak,Grădinarul udă florile.
uita,fiil,forget,unutmak,Am uitat cheia acasă.
uita (se),fiil,watch,bakmak,Ne uităm la un meci de fotbal cu prietenii.
uite,ünlem,look,bak!,Uite ce apus frumos!
ulei,isim,oil,yağ,Pune puțin ulei în salată.
ultim(ă),sıfat,"last, final",son,A mâncat ultimul măr din pom.
umăr,isim,shoulder,omuz,Poartă poșeta pe umăr.
umbla,fiil,"walk, wonder","gezmek, dolaşmak",Am umblat toată ziua prin oraș.
umbră,isim,"shadow, shade",gölge,Stă la umbra copacului.
umbrelă,isim,umbrella,şemsiye,Am uitat umbrela în autobuz.
umed(ă),sıfat,damp,nemli,Pământul este umed după ploaie.
umeraș,isim,hanger,askı,"De obicei, punem hainele pe umeraș."
umfla,fiil,inflate,şişirmek,Daniel umflă baloanele pentru petrecere.
umple,fiil,fill,doldurmak,Gabriel a umplut paharele cu vin.
un,sayı,one,bir,Am cumpărat un caiet și două creioane.
un,tanımlık,one,bir,Am văzut un film interesant.
unchi,isim,uncle,"amca, dayı",Unchiul meu este șofer.
unde,zarf,where,"nerede, nereye",Pleacă unde vrea ea.
undeva,zarf,somewhere,bir yerde,O să găsim cadoul potrivit undeva.
uneori,zarf,sometimes,bazen,Uneori plouă în luna septembrie.
unghie,isim,fingernail,tırnak,Unghiile ei sunt lungi și roșii.
unic(ă),sıfat,"sole, single, only, unique",tek,Acesta este unicul exemplar rămas în bibliotecă.
univers,isim,universe,evren,Este cel mai bogat om din univers.
universal(ă),sıfat,universal,evrensel,Scrie toate notițele pe un caiet universal.
universitate,isim,university,üniversite,Studiez la o universitate din București.
unt,isim,butter,tereyağ,Irina nu mănâncă pâine cu unt.
unu,sayı,one,bir,"Unu, doi, trei...start!"
"unul, una",zamir,"one, some",biri,"Unul citește, altul scrie."
ura,fiil,wish,dilemek,Profesorii urează copiilor vacanță frumoasă.
urât(ă),sıfat/zarf,"ugly, bad, nasty",çirkin,Astăzi vremea este urâtă.
urca,fiil,"go up, climb, get on",binmek,Tinerii urcă în autobuz.
ureche,isim,ear,kulak,Iepurele are urechi lungi.
urgent(ă),sıfat/zarf,urgent,acil,Este o stituație urgentă.
urî,fiil,hate,nefret etmek,Pisicile urăsc zgomotele.
urma,fiil,follow,devam etmek,După film urmează un concert.
urmă,isim,"trace, track, print",iz,Mașina a lăsat urme pe zăpadă.
urmări,fiil,"follow, pursue, chase, watch",takip etmek,Pisica urmărește șoarecele.
"următor, următoare",sıfat,"next, following",sonraki,Despre aceste lucruri vom vorbi în cursul următor.
urs,isim,bear,ayı,Urșii sunt protejați de lege.
usca,fiil,dry,kurutmak,Sorina usucă rufele pe balcon.
uscat(ă),sıfat,"dry, dried",kuru,Tricourile nu sunt uscate.
usturoi,isim,garlic,sarımsak,Salata are mult usturoi.
ușă,isim,door,kapı,Nu a închis ușa când a intrat.
"ușor, ușoară",sıfat/zarf,"easy, light",kolay,Exercițiile sunt ușoare.
util(ă),sıfat,useful,faydalı,Acesta este un exercițiu util pentru abdomen.
utiliza,fiil,use,kullanmak,Utilizăm frecvent timpul prezent.
vacanță,isim,holiday,tatil,Vacanța de vară este cea mai lungă.
vacă,isim,cow,inek,Vacile acestea dau mult lapte.
vaccin,isim,vaccine,aşı,Am făcut azi vaccinul.
vagon,isim,railroad car,vagon,Am bilete în ultimul vagon.
vai !,ünlem,"alas, woe, oh dear",Eyvah!,"Vai, ce frig este!"
valabil(ă),sıfat,valid,geçeli,Oferta este valabilă până mâine.
valiză,isim,suitcase,valiz,A pus toate cadourile în valiză.
valoare,isim,"value, worth",değer,A primit un tablou de valoare de la bunici.
valută,isim,(foreign) currency,döviz,Prețurile sunt doar în valută.
vamă,isim,customs,gümrük,La vamă a așteptat două ore.
vanilie,isim,vanilla,vanilya,Lui îi place inghețata de vanilie.
vapor,isim,ship,vapur,Vapoarele au ajuns în port.
vară,isim,summer,yaz,Verile în Turcia sunt foarte călduroase.
varză,isim,cabbage,lahana,Pregătesc o salată de varză pentru cină.
vată,isim,cotton wool,pamuk,A șters biroul cu vată și alcool.
vază,isim,vase,vazo,Mama a pus florile în vază.
văr,isim,cousin,kuzen,Verii mei au ajuns acasă ieri.
vărsa (se),fiil,"pour, spill, flow","dökülmek, dökmek",Dunărea se varsă în Marea Neagră.
vânătă,isim,"aubergine, eggplant",patlıcan,Salata de vinete a fost delicioasă.
vânt,isim,wind,rüzgar,Pe seară a început să bată vântul.
vânzător,isim,seller,"satıcı, tezgahtar",Vânzătorul vorbește frumos cu clienții.
vârf,isim,"peak, summit, tip, point","zirve, uç",Alpinistul a ajuns pe vârful muntelui.
vârstă,isim,age,yaş,Bunicul are o vârstă înaintată.
"vechi, veche",sıfat,old,eski,Nu îmi plac filmele vechi.
vecin,isim,neighbour,komşu,Vecinii noștri sunt niște tineri artiști.
vedea,fiil,see,görmek,Bunica nu mai vede bine.
vedere,isim,"sight, view, postcard","görme, manzaralı, kartpostal",Bunicul are ochelari de vedere noi.
veioză,isim,lamp,lamba,Pe noptieră stă mereu o veioză aprinsă.
venă,isim,vein,damar,Asistenta a fixat ușor branula în venă.
veni,fiil,come,gelmek,Profesorul a venit la școală devreme.
verde,sıfat,green,yeşil,Ei îi plac legumele verzi.
verifica,fiil,check,kontrol etmek,Nimeni nu a verificat rezervările pentru concert.
verișor,isim,cousin,kuzen,Marcel are mulți verișori din partea mamei.
vesel(ă),sıfat,cheerful,neşeli,Copiii sunt veseli.
veselie,isim,"cheer, joy",neşe,Veselia lor este molipsitoare.
vest,isim,west,batı,Am mers la vest de Brașov.
vestă,isim,"vest, waistcoat",yelek,"Pentru că nu știe să înoate, și-a pus o vestă de salvare."
veste,isim,news,haber,Veștile proaste circulă repede.
veveriță,isim,squirrel,sincap,Veverițele mănâncă alune.
viață,isim,life,hayat,Viața trebuie trăită frumos.
victorie,isim,victory,zafer,Victoria a fost sărbătorită până în zori.
"viitor, viitoare",sıfat,"future, next",gelecek,Luna viitoare plecăm în Africa.
viitor,isim,future,gelecek,Timpul viitor are mai multe forme.
vilă,isim,villa,villa,Locuiește într-o vilă cu trei etaje.
vin,isim,wine,şarap,Aseară am băut un vin cu prietenii mei.
vină,isim,"fault, blame, guilt","suç, kabahat, yüzünden",El nu are nicio vină că nu am reușit.
vinde,fiil,sell,satmak,Marcel vinde castraveți.
vindeca,fiil,"cure, heal",iyileştirmek,Medicul vindecă bolnavul.
vineri,isim,Friday,cuma,Vineri mergem la concert.
vioară,isim,violin,keman,Vioara este pe birou.
violet,sıfat,"violet, purple",mor/menekşe rengi,Bluza violet este în dulap.
vis,isim,dream,"düş, rüya",Ieri noapte am avut un vis urât.
visa,fiil,dream,rüya görmek,Nu am visat nimic azi-noapte.
vișină,isim,sour cherry,vişne,Dulceața de vișine este preferata mea.
vitamină,isim,vitamin,vitamin,Am luat multe vitamine cand am fost bolnav.
vită,isim,"cattle, livestock, beef","sığır, davar",Fermierul crește vite pentru export.
viteză,isim,speed,hız,El nu depășește viteza legală.
vitrină,isim,display / shop window,vitrin,Fetele se uită în vitrină.
"viu, vie",sıfat,alive,canlı,Am cumpărat un pește viu și l-am pus în acvariu.
viza,fiil,"stamp, validate, target","kaşelemek, onaylamak",Secretara vizează carnetele studenților.
viză,isim,visa,vize,Ei nu au primit viza pentru USA.
vizibil(ă),sıfat,visible,görünür,Efectele încălzirii globale sunt vizibile azi.
vizita,fiil,visit,ziyaret etmek,Maria vizitează muzeele din oraș.
vizită,isim,visit,ziyaret,Rodica a mers în vizită la părinți.
voce,isim,voice,ses,Cântărețul are o voce foarte frumoasă.
voi,zamir,you (pl.),siz,Voi plecați mereu la munte.
voiaj,isim,voyage,seyahat,Ultimul voiaj a fost foarte lung.
volei,isim,volleyball,voleybol,Echipa de volei a liceului a câștigat.
volum,isim,volume,cilt,Romanul are două volume.
vopsi,fiil,"paint, decorate, dye","boyamak, badana etmek/vurmak",Tata vopsește gardul.
vorbă,isim,"word, talk, chat",söz,A spus multe vorbe urâte despre el.
vorbi,fiil,"speak, talk",konuşmak,Cristina vorbește cu studenții.
"vostru, voastră (al, a)",zamir,your,sizin,Colegii voștri au întârziat la curs.
vrea,fiil,want,istemek,Nu vreau nimic. Vreau o cafea cu lapte.
vreme,isim,"weather, time","hava, zaman",Acum este o vreme frumoasă la Constanța.
"vreun, vreo",zamir,"some, any","yaklaşık, bir",Am dormit vreo două ore după-masă.
vreodată,zarf,"sometime, ever",herhangi bir zaman,"Dacă ajungi vreodată la Roma, să mă cauți!"
vulpe,isim,fox,tilki,La gradina zoologică am văzut vulpi polare.
watt,isim,watt,wat,Becul acesta are 75 de wați.
weekend,isim,weekend,hafta sonu,În weekend plecă la munte.
xerox,isim,photocopier,fotokopi makinesi,Am lăsat cursurile la xerox.
xeroxa,fiil,photocopy,fotokopi yapmak,Nu am xeroxat toate paginile.
yală,isim,lock,kilit,Yala este blocată.
yoga,isim,yoga,yoga,Yoga mă relaxează.
zahăr,isim,sugar,şeker,Beau cafeaua fără zahăr.
zare,isim,"horizon, distance",ufuk,În zare se văd munții înalți.
zăpadă,isim,snow,kar,"La munte, iarna este multă zăpadă."
zâmbet,isim,smile,gülümseme,Zâmbetele lor arătau satisfacție.
zâmbi,fiil,smile,gülümsemek,"După ce mi-a răspuns, a zâmbit."
zbor,isim,flight,uçuş,Zborurile au fost anulate.
zbura,fiil,fly,uçmak,Am zburat trei ore până la Londra.
zece,sayı,ten,on,Stau zece zile la mare.
zero,sayı,zero,sıfır,Meciul s-a terminat zero la zero.
zgârcit(ă),sıfat,"mean, tight-fisted",cimri,Colegul meu este zgârcit.
zgomot,isim,"noise, sound",gürültü,Pe stradă este mult zgomot.
zi,isim,day,gün,Stă la hotel 3 zile.
ziar,isim,newspaper,gazete,Bunicul citește zilnic ziarul.
zice,fiil,say,"demek, söylemek",El a zis că vine la cină.
zid,isim,wall,duvar,Cetatea are ziduri înalte.
zilnic,zarf,"daily, every day","günlük, her gün",Cumpără pâine zilnic.
zilnic(ă),sıfat,daily,günlük,Programul zilnic începe la ora 7:00.
zmeură,isim,raspberry,ahududu,Prefer gemul de zmeură.
zodie,isim,star sign,burç,Am cumpărat o brățară cu zodia mea.
zonă,isim,"area, zone","alan, bölge",Locuiește în zona centrală.
zugrăvi,fiil,"paint, decorate","boyamak, badana etmek/vurmak",Zugrăvim casa în alb.
